0.966737 0.954190 
0.884964 0.048249 
0.911155 0.326898 
0.786807 0.300991 
0.942085 0.426002 
0.866837 0.495769 
0.152289 0.613656 
0.973496 0.652818 
0.889455 0.774027 
0.842799 0.950113 
0.922448 0.158060 
0.859555 0.235229 
0.966736 0.246760 
0.836027 0.393013 
0.233497 0.535830 
0.062179 0.576807 
0.078676 0.788963 
0.038394 0.876721 
0.990436 0.078841 
0.780832 0.029349 
0.214670 0.120963 
0.115120 0.088224 
0.972563 0.533393 
0.008891 0.351850 
0.130561 0.509229 
0.360007 0.698758 
0.189470 0.819381 
0.163526 0.716541 
0.133713 0.925505 
0.060433 0.991147 
0.345418 0.252916 
0.044618 0.160017 
0.414620 0.167608 
0.040132 0.459411 
0.100233 0.384256 
0.413868 0.614833 
0.190738 0.432224 
0.276354 0.027940 
0.343748 0.940875 
0.248273 0.228189 
0.401163 0.332561 
0.289146 0.442288 
0.145750 0.188582 
0.179829 0.328549 
0.070492 0.265501 
0.290422 0.334614 
0.532293 0.623655 
0.371191 0.498925 
0.513128 0.787658 
0.255815 0.898857 
0.313130 0.155574 
0.177460 0.011807 
0.481219 0.529458 
0.516804 0.340649 
0.471072 0.697562 
0.254304 0.669614 
0.440405 0.422241 
0.412775 0.782210 
0.287252 0.762316 
0.335385 0.845120 
0.589438 0.104580 
0.534320 0.980782 
0.530025 0.182814 
0.617977 0.361355 
0.585899 0.270731 
0.314445 0.588204 
0.699744 0.556328 
0.572394 0.711217 
0.435620 0.987662 
0.429074 0.877933 
0.382383 0.074642 
0.721219 0.939172 
0.810312 0.124687 
0.660577 0.459291 
0.469337 0.257293 
0.615941 0.818500 
0.794097 0.576572 
0.531334 0.881766 
0.621751 0.930363 
0.739467 0.843950 
0.491592 0.072936 
0.698190 0.111524 
0.641113 0.192074 
0.548153 0.448799 
0.685212 0.277459 
0.854588 0.682420 
0.602918 0.550416 
0.650606 0.651642 
0.943684 0.858139 
0.794613 0.757143 
0.657824 0.021009 
0.836941 0.854167 
0.751298 0.207655 
0.766729 0.462890 
0.715999 0.379433 
0.068370 0.685316 
0.986425 0.750082 
0.888893 0.591765 
0.754947 0.669016 
0.698205 0.748013 
